Num dataset, Bubble sort, Select sort, Insert sort, Heap sort, Shell sort, Radix sort, Quick sort, Merge sort
1000,0.004344,0.002049,0.001235,0.020933,0.000671,0.000361,0.000134,0.000883
1001,0.004685,0.001958,0.001562,0.021962,0.000659,0.000398,0.000132,0.000884
1002,0.004947,0.002388,0.001287,0.021796,0.000667,0.000388,0.000135,0.000886
1003,0.00658,0.003415,0.001695,0.029072,0.00077,0.000436,0.000157,0.001092
1004,0.00606,0.002852,0.001632,0.03123,0.000723,0.000435,0.000157,0.001086
1005,0.00647,0.003884,0.002035,0.028783,0.000797,0.000439,0.000162,0.001089
1006,0.005814,0.002239,0.00133,0.033947,0.000767,0.000445,0.000159,0.001089
1007,0.004106,0.002068,0.001266,0.019943,0.000678,0.0004,0.000137,0.000907
1008,0.004736,0.002542,0.001271,0.021688,0.000681,0.000378,0.000136,0.000882
1009,0.004003,0.001858,0.00113,0.032458,0.000796,0.000453,0.000161,0.001071
1010,0.005136,0.002887,0.001694,0.025139,0.000337,0.000216,0.000133,0.000953
1011,0.005897,0.002891,0.001732,0.028847,0.000825,0.000428,0.000157,0.001076
1012,0.005227,0.002843,0.001104,0.026003,0.000456,0.000253,0.000094,0.000643
1013,0.004529,0.001924,0.001092,0.029381,0.000817,0.000447,0.000158,0.001081
1014,0.007258,0.003466,0.001694,0.030627,0.000762,0.00043,0.00017,0.000907
1015,0.004919,0.003744,0.001687,0.030518,0.000806,0.000469,0.000161,0.001091
1016,0.005504,0.002617,0.002438,0.02592,0.000689,0.000361,0.000142,0.000949
1017,0.004212,0.002456,0.00107,0.027673,0.000833,0.000459,0.000164,0.001053
1018,0.004497,0.002937,0.001726,0.029311,0.000758,0.000428,0.000163,0.00109
1019,0.004139,0.001913,0.001137,0.032848,0.000837,0.000441,0.000162,0.001092
1020,0.004533,0.001914,0.001142,0.034051,0.000817,0.000429,0.000159,0.00108
1021,0.007031,0.004028,0.002304,0.033374,0.000771,0.000478,0.000165,0.001087
1022,0.007748,0.003985,0.001769,0.031601,0.000815,0.000454,0.000167,0.000938
1023,0.007657,0.00405,0.002449,0.031896,0.00088,0.000373,0.000143,0.000987
